Ano,Empresa,CNPJ,Receita_Liquida,Resultado_Bruto,Resultado_Antes_IR,Lucro_Liquido,Ativo_Total,Patrimonio_Liquido,Passivo_Total,Margem_Liquida,ROE,ROA,Endividamento,Crescimento_Receita
2011,B3,09.346.601/0001-25,2111539.0,1303476.0,1144486.0,0.0,22633975.0,19419048.0,22633975.0,0.0,0.0,0.0,16.555533515340194,26.220728868655165
2012,B3,09.346.601/0001-25,1904684.0,1307481.0,1048529.0,0.0,23589922.0,19257491.0,23589922.0,0.0,0.0,0.0,22.49738037005963,-9.796409159385645
2013,B3,09.346.601/0001-25,2064750.0,1450940.0,1074256.0,0.0,24147114.0,19413882.0,24147114.0,0.0,0.0,0.0,24.38065709887389,8.403808715776485
2014,B3,09.346.601/0001-25,2126638.0,1507189.0,1080947.0,0.0,25896659.0,19298892.0,25896659.0,0.0,0.0,0.0,34.18728391246503,2.9973604552609334
2015,B3,09.346.601/0001-25,2030433.0,1438523.0,977914.0,0.0,25263482.0,18988403.0,25263482.0,0.0,0.0,0.0,33.0469023645643,-4.52380706072214
2016,B3,09.346.601/0001-25,2216634.0,2298426.0,2203458.0,0.0,26308895.0,18352213.0,26308895.0,0.0,0.0,0.0,43.35543620815648,9.170506980530746
2017,B3,09.346.601/0001-25,2320781.0,1094586.0,1446064.0,0.0,31155875.0,19076385.0,31155875.0,0.0,0.0,0.0,63.32169328727639,4.698430142278798
2018,B3,09.346.601/0001-25,3673596.0,1484202.0,1296645.0,0.0,37579879.0,24310014.0,37579879.0,0.0,0.0,0.0,54.58600311789208,58.2913682936908
2019,B3,09.346.601/0001-25,5351875.0,2392091.0,2088351.0,0.0,37672245.0,25044196.0,37672245.0,0.0,0.0,0.0,50.42305610449623,45.68490928234896
2020,B3,09.346.601/0001-25,6576507.0,3232141.0,2713204.0,0.0,40027315.0,25401233.0,40027315.0,0.0,0.0,0.0,57.58020486643306,22.882298259955625
2021,B3,09.346.601/0001-25,9327395.0,5602409.0,4150715.0,0.0,46332783.0,24521424.0,46332783.0,0.0,0.0,0.0,88.94817446164626,41.82901348694679
2022,B3,09.346.601/0001-25,10288124.0,6320984.0,4717089.0,0.0,52531769.0,22419370.0,52531769.0,0.0,0.0,0.0,134.3142068666515,10.30007842489784
2023,B3,09.346.601/0001-25,10110682.0,5577874.0,4226598.0,0.0,47594773.0,20283143.0,47594773.0,0.0,0.0,0.0,134.65186337245663,-1.7247264904660995
2024,B3,09.346.601/0001-25,9921251.0,5249623.0,4132512.0,0.0,49205283.0,20286099.0,49205283.0,0.0,0.0,0.0,142.55665418964978,-1.8735729202045917
2010,BRADESCO,60.746.948/0001-12,61906265.0,12565173.0,,0.0,489683951.0,393397758.0,489683951.0,0.0,0.0,0.0,24.47553170854624,
2011,BRADESCO,60.746.948/0001-12,66739332.0,15324117.0,,0.0,602954024.0,492014622.0,602954024.0,0.0,0.0,0.0,22.54798882786049,7.807072515196967
2012,BRADESCO,60.746.948/0001-12,82124304.0,14683469.0,,0.0,722086892.0,588264495.0,722086892.0,0.0,0.0,0.0,22.748678211490564,23.052331419799053
2013,BRADESCO,60.746.948/0001-12,85950345.0,15441448.0,,0.0,799540624.0,636890144.0,799540624.0,0.0,0.0,0.0,25.53823159806976,4.658841309632278
2014,BRADESCO,60.746.948/0001-12,77698157.0,14319169.0,,0.0,838301614.0,683415524.0,838301614.0,0.0,0.0,0.0,22.66353112575769,-9.601110967035677
2015,BRADESCO,60.746.948/0001-12,99723519.0,19330791.0,,0.0,930451016.0,757383017.0,930451016.0,0.0,0.0,0.0,22.850789510111237,28.34734162356001
2016,BRADESCO,60.746.948/0001-12,114601292.0,9603583.0,,0.0,1026703522.0,819487414.0,1026703522.0,0.0,0.0,0.0,25.28606351482049,14.919021259167554
2017,BRADESCO,60.746.948/0001-12,162912502.0,31905456.0,,0.0,1192029656.0,953963613.0,1192029656.0,0.0,0.0,0.0,24.955463683917262,42.15590344304321
2018,BRADESCO,60.746.948/0001-12,137794231.0,23743559.0,,0.0,1224353440.0,733319404.0,1224353440.0,0.0,0.0,0.0,66.96045861074747,-15.418258692018616
2019,BRADESCO,60.746.948/0001-12,112546955.0,19442015.0,,0.0,1305543714.0,852332872.0,1305543714.0,0.0,0.0,0.0,53.172986386942966,-18.32244776633646
2020,BRADESCO,60.746.948/0001-12,124306394.0,13381078.0,21173207.0,0.0,1378527685.0,297831345.0,1378527685.0,0.0,0.0,0.0,362.8551387027447,10.448473705930116
2021,BRADESCO,60.746.948/0001-12,98429117.0,4075295.0,16033961.0,0.0,1604653790.0,311226553.0,1604653790.0,0.0,0.0,0.0,415.5902587784661,-20.81733382113876
2022,BRADESCO,60.746.948/0001-12,125443431.0,32852367.0,23380804.0,0.0,1675572193.0,317304610.0,1675572193.0,0.0,0.0,0.0,428.0642449537685,27.44544990686037
2023,BRADESCO,60.746.948/0001-12,205913274.0,24621610.0,21456770.0,0.0,1792288792.0,332169978.0,1792288792.0,0.0,0.0,0.0,439.5697717148898,64.1483116003101
2024,BRADESCO,60.746.948/0001-12,224457793.0,10208351.0,14502765.0,0.0,1927523249.0,370606996.0,1927523249.0,0.0,0.0,0.0,420.0989916013351,9.005985209093414
2010,ITAU,60.872.504/0001-23,0.0,0.0,,0.0,578604000.0,0.0,578604000.0,,,0.0,,
2011,ITAU,60.872.504/0001-23,82504000.0,18030000.0,,0.0,727082000.0,509457000.0,727082000.0,0.0,0.0,0.0,42.7170497215663,
2012,ITAU,60.872.504/0001-23,103601000.0,18251000.0,,0.0,818136000.0,573354000.0,818136000.0,0.0,0.0,0.0,42.69299595014599,25.57088141181034
2013,ITAU,60.872.504/0001-23,101582000.0,17416000.0,,0.0,957154000.0,679706000.0,957154000.0,0.0,0.0,0.0,40.81882460946351,-1.9488228878099645
2014,ITAU,60.872.504/0001-23,94797000.0,20865000.0,,0.0,1027297000.0,724496000.0,1027297000.0,0.0,0.0,0.0,41.79470970164086,-6.6793329526884655
2015,ITAU,60.872.504/0001-23,129035000.0,28808000.0,,0.0,1127203000.0,779284000.0,1127203000.0,0.0,0.0,0.0,44.64598272260177,36.11717670390413
2016,ITAU,60.872.504/0001-23,129574000.0,18265000.0,,0.0,1276415000.0,880057000.0,1276415000.0,0.0,0.0,0.0,45.03776459933845,0.4177161235323856
2017,ITAU,60.872.504/0001-23,174319000.0,38192000.0,,0.0,1353241000.0,910300000.0,1353241000.0,0.0,0.0,0.0,48.65879380424036,34.53239075740504
2018,ITAU,60.872.504/0001-23,149572000.0,30582000.0,,0.0,1436239000.0,1024584000.0,1436239000.0,0.0,0.0,0.0,40.177769709462574,-14.196387083450457
2019,ITAU,60.872.504/0001-23,174812000.0,30608000.0,,0.0,1552797000.0,1119734000.0,1552797000.0,0.0,0.0,0.0,38.67552472283596,16.87481614205868
2020,ITAU,60.872.504/0001-23,193037000.0,31243000.0,,0.0,1637481000.0,1159830000.0,1637481000.0,0.0,0.0,0.0,41.182845761878895,10.425485664599687
2021,ITAU,60.872.504/0001-23,173757000.0,5230000.0,,7.74,2019251000.0,1495641000.0,2019251000.0,4.454496797251334e-06,5.175038662352798e-07,3.833104453086813e-07,35.00906968985205,-9.98772256095981
2022,ITAU,60.872.504/0001-23,195679000.0,42231000.0,,10.92,2069206000.0,1553107000.0,2069206000.0,5.580568175430169e-06,7.031067402310336e-07,5.277386591765151e-07,33.2300994071883,12.616470127822188
2023,ITAU,60.872.504/0001-23,259026000.0,36694000.0,,11.88,2321066000.0,1755498000.0,2321066000.0,4.586412174839592e-06,6.767310472583848e-07,5.118337867169654e-07,32.21695496092847,32.37291686895374
2024,ITAU,60.872.504/0001-23,313221000.0,39700000.0,,13.48,2543100000.0,1944162000.0,2543100000.0,4.303670571257994e-06,6.933578580385792e-07,5.300617356769297e-07,30.807000651180307,20.922610085474048
2010,MAGAZINE LUIZA,47.960.950/0001-21,3350999.0,3981.0,-92707.0,0.0,2633968.0,-6063.0,2633968.0,0.0,-0.0,0.0,-43543.31189180274,
2011,MAGAZINE LUIZA,47.960.950/0001-21,4808024.0,251433.0,68834.0,0.0,3927780.0,47436.0,3927780.0,0.0,0.0,0.0,8180.166961801163,43.48031736207621
2012,MAGAZINE LUIZA,47.960.950/0001-21,6419371.0,213660.0,11666.0,0.0,4877354.0,620945.0,4877354.0,0.0,0.0,0.0,685.4727874449428,33.5137054224355
2013,MAGAZINE LUIZA,47.960.950/0001-21,7066770.0,166471.0,-6745.0,0.0,4107744.0,615992.0,4107744.0,0.0,0.0,0.0,566.8502188340108,10.085084660163734
2014,MAGAZINE LUIZA,47.960.950/0001-21,8088439.0,374966.0,113806.0,0.0,4713904.0,694611.0,4713904.0,0.0,0.0,0.0,578.6394111236361,14.45736878375834
2015,MAGAZINE LUIZA,47.960.950/0001-21,9779385.0,490928.0,128556.0,0.0,5250999.0,667911.0,5250999.0,0.0,0.0,0.0,686.1824404748537,20.90571493461222
2016,MAGAZINE LUIZA,47.960.950/0001-21,8978259.0,338926.0,-65605.0,0.0,5501981.0,575656.0,5501981.0,0.0,0.0,0.0,855.7758452964965,-8.191987532958356
2017,MAGAZINE LUIZA,47.960.950/0001-21,9508745.0,580945.0,86565.0,0.0,6100606.0,621586.0,6100606.0,0.0,0.0,0.0,881.4580765976068,5.908562005172713
2018,MAGAZINE LUIZA,47.960.950/0001-21,11984250.0,887694.0,389022.0,0.0,7419513.0,2073977.0,7419513.0,0.0,0.0,0.0,257.74326330523434,26.03398240251473
2019,MAGAZINE LUIZA,47.960.950/0001-21,15590444.0,1081551.0,597429.0,0.0,8796741.0,2302872.0,8796741.0,0.0,0.0,0.0,281.99001073442207,30.091111250182536
2020,MAGAZINE LUIZA,47.960.950/0001-21,19886310.0,1288563.0,921828.0,0.0,19791073.0,7564937.0,19791073.0,0.0,0.0,0.0,161.61583368110007,27.55448145030379
2021,MAGAZINE LUIZA,47.960.950/0001-21,29177113.0,824576.0,391709.0,0.0,24647203.0,7325287.0,24647203.0,0.0,0.0,0.0,236.46740393925865,46.71959252370097
2022,MAGAZINE LUIZA,47.960.950/0001-21,35278150.0,470602.0,590661.0,0.0,38384616.0,11261231.0,38384616.0,0.0,0.0,0.0,240.8563060290656,20.91035189122379
2023,MAGAZINE LUIZA,47.960.950/0001-21,37299002.0,771635.0,-498975.0,0.0,37765845.0,10648701.0,37765845.0,0.0,0.0,0.0,254.6521308091945,5.728338929337284
2024,MAGAZINE LUIZA,47.960.950/0001-21,36768149.0,-372148.0,-979104.0,0.0,37455067.0,9610534.0,37455067.0,0.0,0.0,0.0,289.72930120220167,-1.4232364715817347
2010,NATURA,71.673.990/0001-77,4242057.0,916028.0,683924.0,0.0,2741218.0,1139822.0,2741218.0,0.0,0.0,0.0,140.49527031413675,
2011,NATURA,71.673.990/0001-77,5136712.0,1167906.0,744050.0,0.0,3221871.0,1257502.0,3221871.0,0.0,0.0,0.0,156.21199807236889,21.09012207992491
2012,NATURA,71.673.990/0001-77,5591374.0,1315070.0,830901.0,0.0,3793012.0,1250245.0,3793012.0,0.0,0.0,0.0,203.3814972265436,8.851226231877508
2013,NATURA,71.673.990/0001-77,6345669.0,1370700.0,874376.0,0.0,5356718.0,1287436.0,5356718.0,0.0,0.0,0.0,316.0764496254571,13.49033350299944
2014,NATURA,71.673.990/0001-77,7010311.0,1415996.0,847806.0,0.0,6248321.0,1168250.0,6248321.0,0.0,0.0,0.0,434.8445110207575,10.473946876208018
2015,NATURA,71.673.990/0001-77,7408422.0,1364672.0,741221.0,0.0,7200083.0,1148679.0,7200083.0,0.0,0.0,0.0,526.8141926508624,5.67893492884981
2016,NATURA,71.673.990/0001-77,7899002.0,1256769.0,522732.0,0.0,9394981.0,1077767.0,9394981.0,0.0,0.0,0.0,771.7079851210883,6.621922995207341
2017,NATURA,71.673.990/0001-77,7912664.0,1082868.0,308238.0,0.0,8421579.0,996385.0,8421579.0,0.0,0.0,0.0,745.2133462466818,0.1729585585622084
2018,NATURA,71.673.990/0001-77,9852708.0,1358641.0,670251.0,0.0,14957462.0,1634746.0,14957462.0,0.0,0.0,0.0,814.971622502823,24.51821535705294
2019,NATURA,32.785.497/0001-97,13397419.0,1256693.0,548379.0,0.0,15379549.0,2574102.0,15379549.0,0.0,0.0,0.0,497.47240008360194,35.97702276369095
2020,NATURA,32.785.497/0001-97,14444690.0,1351248.0,155467.0,0.0,21184512.0,3362345.0,21184512.0,0.0,0.0,0.0,530.0517049856574,7.816960863879818
2021,NATURA,32.785.497/0001-97,36921980.0,789597.0,-663678.0,0.0,60917597.0,27387108.0,60917597.0,0.0,0.0,0.0,122.43165287842731,155.60936233314803
2022,NATURA,32.785.497/0001-97,40164687.0,1118230.0,1040689.0,0.0,60448490.0,28566725.0,60448490.0,0.0,0.0,0.0,111.60455039910946,8.78259237451513
