Empresa,Receita_Liquida,Lucro_Liquido,Margem_Liquida,ROE,ROA,Endividamento,Crescimento_Receita
AMBEV,47605430.2,0.0,0.0,0.0,0.0,70.09305484858392,9.480893482398349
B3,4779852.2,0.0,0.0,0.0,0.0,60.54224716610344,15.182856234254546
BRADESCO,118703127.4,0.0,0.0,0.0,0.0,158.49187526196457,11.987827196147396
ITAU,151634400.0,2.9346666666666668,1.3517962656270778e-06,1.850499651259484e-07,1.3019630845860613e-07,39.83324185802313,12.079861415434731
MAGAZINE LUIZA,16265560.666666666,0.0,0.0,0.0,0.0,-1959.047460035304,19.698099115067265
NATURA,14358826.333333334,0.0,0.0,0.0,0.0,373.38865299659625,17.121623833315002
PETROBRAS,329386020.6,0.0,0.0,0.0,0.0,161.96365519907516,9.545477810561744
VALE,134221053.46666667,0.0,0.0,0.0,0.0,114.6253869477482,13.622867546381324
WEG,12803029.066666666,0.0,0.0,0.0,0.0,102.23526272380651,16.253430663986677
