referencia,Receita_Liquida,Lucro_Liquido,Margem_Liquida,ROE,ROA,Endividamento,Crescimento_Receita
count,135.0,135.0,134.0,134.0,135.0,134.0,125.0
mean,92195255.54814816,0.326074074074074,1.4123244566253054e-07,1.9333578445994608e-08,1.4466256495400682e-08,-98.56674990566464,13.90033008600179
std,113898752.7661193,1.907653515387581,8.128164855164248e-07,1.1140901669457657e-07,8.376060685037108e-08,3848.726152379351,22.77371199988081
min,0.0,0.0,0.0,0.0,0.0,-43543.31189180274,-32.14044129180825
25%,9437876.5,0.0,0.0,0.0,0.0,56.55557657466896,0.4177161235323856
50%,45602561.0,0.0,0.0,0.0,0.0,97.29906514385846,10.448473705930116
75%,129304500.0,0.0,0.0,0.0,0.0,173.15348551024113,24.48189632710209
max,641256000.0,13.48,5.580568175430169e-06,7.031067402310336e-07,5.300617356769297e-07,8180.166961801163,155.60936233314803
