Date,AAPL_SMA50,AAPL_SMA200,AAPL_Volatilidade,AAPL_RSI,MSFT_SMA50,MSFT_SMA200,MSFT_Volatilidade,MSFT_RSI,GOOGL_SMA50,GOOGL_SMA200,GOOGL_Volatilidade,GOOGL_RSI,NVDA_SMA50,NVDA_SMA200,NVDA_Volatilidade,NVDA_RSI,META_SMA50,META_SMA200,META_Volatilidade,META_RSI
2000-01-03,,,,,,,,,,,,,,,,,,,,
2000-01-04,,,,,,,,,,,,,,,,,,,,
2000-01-05,,,,,,,,,,,,,,,,,,,,
2000-01-06,,,,,,,,,,,,,,,,,,,,
2000-01-07,,,,,,,,,,,,,,,,,,,,
2000-01-10,,,,,,,,,,,,,,,,,,,,
2000-01-11,,,,,,,,,,,,,,,,,,,,
2000-01-12,,,,,,,,,,,,,,,,,,,,
2000-01-13,,,,,,,,,,,,,,,,,,,,
2000-01-14,,,,,,,,,,,,,,,,,,,,
2000-01-18,,,,,,,,,,,,,,,,,,,,
2000-01-19,,,,,,,,,,,,,,,,,,,,
2000-01-20,,,,,,,,,,,,,,,,,,,,
2000-01-21,,,,49.5211063130096,,,,33.44108954785166,,,,,,,,43.9113300855637,,,,
2000-01-24,,,,45.9555916751435,,,,31.411320658596296,,,,,,,,39.2745370978765,,,,
2000-01-25,,,,57.28967986455044,,,,37.359193289836526,,,,,,,,41.17612760907897,,,,
2000-01-26,,,,54.58760813330304,,,,32.42021048879188,,,,,,,,40.61386470558039,,,,
2000-01-27,,,,62.79323816677151,,,,35.14858839417957,,,,,,,,42.34882866619552,,,,
2000-01-28,,,,51.6999976596143,,,,32.14900684252356,,,,,,,,37.49961533877277,,,,
2000-01-31,,,,54.77135135859581,,,,30.308343950908068,,,,,,,,31.734954964499,,,,
2000-02-01,,,,56.10997466074765,,,,41.68028077370634,,,,,,,,38.90976233895326,,,,
2000-02-02,,,84.19152848463531,60.152811611171884,,,46.39312915651278,43.288755323996384,,,0.0,,,,53.52447718642112,45.524929446566254,,,0.0,
2000-02-03,,,80.63913908356699,56.28742250446439,,,46.73850534834762,44.49917178884422,,,0.0,,,,53.70095323276508,41.66716942193892,,,0.0,
2000-02-04,,,81.95735995507528,57.10936207362727,,,47.80921975450645,42.22230913935979,,,0.0,,,,53.71407772601825,38.053450482250646,,,0.0,
2000-02-07,,,77.05903674425888,59.08074141980978,,,46.48170709422189,37.05770473111365,,,0.0,,,,53.20041110671041,23.727521274755745,,,0.0,
2000-02-08,,,75.84222391980504,57.70572044437075,,,47.57685268901847,55.14222309676856,,,0.0,,,,55.67882424713705,32.945308674708585,,,0.0,
2000-02-09,,,75.93015032599502,49.11159212556738,,,50.97577145554811,47.01496070800894,,,0.0,,,,55.134383709214816,37.13117028035981,,,0.0,
2000-02-10,,,72.84211417817743,52.28161028856833,,,50.85085918739853,53.3835411154707,,,0.0,,,,88.83887582151797,59.045557574314856,,,0.0,
2000-02-11,,,70.87208936021317,52.62458670291751,,,53.42720775803136,48.21731982015604,,,0.0,,,,87.92332636880366,65.34399047375942,,,0.0,
2000-02-14,,,64.47033946765544,53.65854335544012,,,52.87458017883362,45.51842917002797,,,0.0,,,,101.53443544810736,75.00078640375317,,,0.0,
2000-02-15,,,63.97825112248087,58.84562050662676,,,50.38296014997881,48.7758561254612,,,0.0,,,,102.8543455183478,73.82040114261142,,,0.0,
2000-02-16,,,65.47416592611573,53.78437130188196,,,48.940722621060615,48.3208530231431,,,0.0,,,,102.9786427956128,80.77820506154934,,,0.0,
2000-02-17,,,65.0742823971691,64.13329405597567,,,43.765722901118245,51.96426251925188,,,0.0,,,,102.89212073389788,84.71776301844132,,,0.0,
2000-02-18,,,62.26374746223905,57.75192753855159,,,46.18314269878893,46.41152984090535,,,0.0,,,,108.30539686565804,88.06986097937093,,,0.0,
2000-02-22,,,62.35732646229292,64.2950365392118,,,45.90431698428125,37.10242465551017,,,0.0,,,,109.0883109626133,83.76737496628563,,,0.0,
2000-02-23,,,60.23719921028536,67.99983587925637,,,45.42668458603132,40.259670442953166,,,0.0,,,,106.66917192539287,83.48929557238984,,,0.0,
2000-02-24,,,57.38794731168373,63.21630226887921,,,45.04241671871061,35.85660954795193,,,0.0,,,,106.69581879267588,81.93177446905352,,,0.0,
2000-02-25,,,58.990358183682446,52.63151126149655,,,45.29085323973002,26.07840605710213,,,0.0,,,,108.51366414863529,73.84389677606947,,,0.0,
2000-02-28,,,59.625398023001495,49.031348552448925,,,45.3320124033519,26.51079854818275,,,0.0,,,,105.7208211548217,77.54176079139876,,,0.0,
2000-02-29,,,52.44751207374117,49.70589286071683,,,45.89519940687249,16.767697279167663,,,0.0,,,,104.35645540368002,78.29895755300498,,,0.0,
2000-03-01,,,69.223655564276,65.81003533444365,,,46.4252090414865,25.05915291746653,,,0.0,,,,105.5175394052008,74.4254087986022,,,0.0,
2000-03-02,,,72.42278576187998,56.70611248096941,,,43.54938821453621,26.620558506541546,,,0.0,,,,110.46561076265785,61.049320260959306,,,0.0,
2000-03-03,,,73.0337605677154,64.89362618178097,,,44.62026272883367,41.9525545232279,,,0.0,,,,110.4676722402176,61.23395831965203,,,0.0,
2000-03-06,,,72.82813921999497,58.24633929308784,,,47.13318512358183,34.41571839115262,,,0.0,,,,110.89099926854946,50.78456903282336,,,0.0,
2000-03-07,,,72.50399902522015,53.25625834049029,,,46.82533703584467,40.54059050746833,,,0.0,,,,178.38741064882407,75.31565158516716,,,0.0,
2000-03-08,,,70.39721613791912,57.09464942178461,,,48.341048981971205,46.75842170807048,,,0.0,,,,174.98248290574475,74.43518983291236,,,0.0,
2000-03-09,,,70.39181945348344,56.70456605151352,,,50.0392904826989,50.54750281609864,,,0.0,,,,182.61942437975745,79.88298411756293,,,0.0,
