Date,AAPL,MSFT,GOOGL,NVDA,META,JPM,BAC,GS,WFC,C,XOM,CVX,COP,JNJ,UNH,PFE,WMT,AMZN,HD,^GSPC,^DJI,^IXIC
2000-01-04,-0.084309829207026,-0.0337802311805138,0.0,-0.0267006179762735,0.0,-0.0219417823012387,-0.0593547488910456,-0.0629858404830534,-0.0495209417134056,-0.0613205541388302,-0.0191542637486606,0.0,-0.0193103063120826,-0.0366100274506551,-0.01279058933616,-0.0372548753180445,-0.0374178396869883,-0.0832167405348557,-0.0527322552801067,-0.0383446680784976,-0.0316601161297978,-0.0555438476844714
2000-01-05,0.0146333374723244,0.010544005475608,0.0,-0.0329219956627491,0.0,-0.0061724560946966,0.0109737241400635,-0.0468280541437288,-0.0100838899532024,0.0402007927181344,0.0545160085949556,0.0179371138625177,-0.0182843405758191,0.0105558053207457,-0.0023562065065972,0.0162931281998437,-0.020408374835251,-0.1487414700346959,0.0202419845254457,0.0019221829913671,0.0113403801141549,-0.0061896005849828
2000-01-06,-0.0865384100890989,-0.0334980662880961,0.0,-0.0652529364064828,0.0,0.0141969484908079,0.0854816875337645,0.0427892140781174,0.044142924748058,0.0483095351992755,0.0516973379903602,0.0425845369118391,0.0343835556975851,0.0313370510842547,0.0365999748536172,0.0360719203047983,0.010912966099823,-0.0600358157692614,-0.0476185469697203,0.0009556781096431,0.011742648596605,-0.038790097519242
2000-01-07,0.0473685994245283,0.0130680616953668,0.0,0.0167008002166868,0.0,0.0183723124077486,-0.0262496544650255,0.0037987930025951,0.0178859161413698,-0.0046083775912123,-0.0029344346218981,0.0176061974503329,0.0,0.042538943651821,0.1173120051981009,0.0676982930790546,0.0755635829357701,0.0610104998358844,0.0583340191915704,0.027090399268961,0.0239308262935618,0.0417184909739896
2000-01-10,-0.01758784314067,0.0072910016713052,0.0,0.0328287111777072,0.0,-0.0171823847699758,-0.0346601261836975,0.0219536605283248,-0.0319488161076022,-0.0034725190572277,-0.0139806567334542,-0.0269898277095208,-0.0027700520685479,-0.0252592905657228,-0.0173296457478834,-0.0018112471718642,-0.0182480953162655,-0.0053908902701161,-0.0049214970918614,0.011189969413615,0.0043081248308662,0.0430250190967711
2000-01-11,-0.0511510740172208,-0.0256125756209706,0.0,-0.0404645219104587,0.0,-0.0236011154789503,-0.0212766613760543,0.0051850443910415,-0.016501615120773,-0.0127764558204862,0.0029854204937478,-0.0092455898682677,-0.0013886194014338,0.0033227213474384,0.002074880385334,-0.01270438790625,-0.0148697556479939,-0.035230298139103,-0.0257171330205625,-0.0130625118764383,-0.0052816332379262,-0.0317260376641421
2000-01-12,-0.0599725811711756,-0.0325717150286106,0.0,-0.0255960899040099,0.0,0.0062671710386861,0.0108698419163506,-0.0051582983849333,0.0285236982558976,0.0352949692872515,-0.0059527594206166,-0.0035902720717893,-0.0194717090885793,-0.009271598878773,-0.0093164065603263,0.0330884152906334,-0.0179244122062314,-0.047752864773272,-0.0081221784601736,-0.004386371327394,0.0034766095777625,-0.0181500827398012
2000-01-13,0.1096768575754356,0.0189020480661454,0.0,0.0417238483795152,0.0,0.0151242938939863,0.0228493082786711,0.0014810787167212,0.0554647148429283,0.0113634530029602,0.0232035867618729,0.0093665355261354,0.0014186181822708,-0.0013368749794113,0.0313477143528746,0.0533809402024871,0.0009605758806114,0.03736482955542,0.0174004528125835,0.0121697006185634,0.0027123026538158,0.0278413984505203
2000-01-14,0.0381133430142532,0.0411591345357402,0.0,0.0430261160210783,0.0,0.0359330923864229,0.0617610866699847,0.0133133739823505,0.0309122167940489,0.0426964658321979,-0.0197512391890425,-0.0064237769706494,-0.0084982272812332,0.0033467821967181,-0.001013184719085,0.0,-0.0095970902700752,-0.025592388134997,-0.0030185297295357,0.0106712999627225,0.012134827064971,0.0270544296740793
2000-01-18,0.0348476035213356,0.0272834665250465,0.0,0.0426825208305183,0.0,-0.0389170364437533,-0.0495056042608046,0.014599069027217,-0.0674663786822784,0.0086208487527525,0.0119406483852899,0.026579781959821,0.0157142958800087,-0.0253504287896465,-0.042596357952043,-0.0135133867747991,0.0164734529927277,-0.0019455697636119,-0.0232082807457414,-0.0068320715277113,-0.0138412533075559,0.0163719533256243
2000-01-19,0.0252561980790937,-0.072087051261347,0.0,-0.0095553955979414,0.0,0.0440137239637896,0.0,0.0079133828534629,-0.0546626688863883,0.021367712731475,0.0095861874900733,-0.0153959323662976,-0.0084393615080735,0.0034222127994889,0.0084747727075649,0.0136984999022122,-0.0228789524857455,0.0419103617515395,0.0227271150592582,0.0005222932212531,-0.0061725720100316,0.0049578606080284
2000-01-20,0.0651027086465794,-0.0093457791199704,0.0,-0.002750299332425,0.0,-0.0008423081089494,-0.0192049393489711,-0.017211370914091,-0.0102036188548658,-0.0190903160968605,-0.0219131178334666,-0.0049746144987962,-0.0283688632852668,0.0034106231918114,0.0252097540132489,-0.016469358597341,-0.0107318974404823,-0.0308700000435353,-0.0171715332451372,-0.0070953210740946,-0.0120163823442289,0.0092067107339797
2000-01-21,-0.0192731211580304,-0.0212269692153066,0.0,-0.0110531742478962,0.0,-0.0151907888180238,-0.0295387696153794,-0.0029085902974087,0.0068722183903255,-0.0370566434807372,0.0156829872687698,0.0121435584781861,-0.0029192083065976,-0.0224332900045072,-0.0430331245065993,-0.0364964675923094,-0.0147927214311768,-0.0415057479314288,-0.013361235066893,-0.0029123190810015,-0.0087734308373103,0.0109535815133501
2000-01-24,-0.0454798597018063,-0.0240960584789203,0.0,-0.0446859297008037,0.0,0.0008575039832681,-0.0246239123143645,-0.0459520075309404,-0.0204776293948717,-0.0221487312157283,-0.0088237381817115,0.00282268595001,-0.0219625453169066,-0.0688456945382819,-0.0546033449668329,-0.019608168511263,-0.0490495537245828,0.1299093001010338,-0.033333475423486,-0.0276335935917997,-0.0216447135509177,-0.0328941369011351
2000-01-25,0.0564697888025305,0.0154322464866689,0.0,-0.008780180158479,0.0,0.0222605348728306,0.0126228617648314,0.0259937945727528,0.0487810767175422,0.0124573582125964,-0.0022250586857173,-0.0028147408206427,0.0119763256483498,0.0186704550544716,0.0,0.0145453212353947,0.0294740031132281,-0.0124776643009196,-0.0323274743562099,0.0060648004839856,0.0019730551687195,0.0174142294009183
2000-01-26,-0.0183739517955187,-0.0334342489068457,0.0,-0.0412998404927492,0.0,0.051088242442582,0.0443210400524862,0.0521608869698844,0.0099660111802353,0.0402682399075828,-0.0066916064582039,-0.009174948897597,-0.0251475757821584,-0.0205278535522923,-0.0022645900481407,0.0,0.0132921130978198,-0.0640794757036153,0.022271985828862,-0.0042127212563867,0.000281107611801,-0.0233958838907182
