retorno_acumulado,volatilidade,volume_medio,negocios_medio,ativo
-0.9993396226415094,0.0759477287105318,12698706.588582678,5.511811023622047,1
13.999999999998446,209.16696298557568,666910.3047456949,6.815378454144974,2
0.1180769230770291,1.2908143826041396,12542469.179093158,1167.5647155812037,3
4.914285714285723,1.5441521330811157,218589.77577620023,30.316644872034374,4
-0.9942268041237112,0.3291022484608364,2844839.75962963,1.5555555555555556,5
-0.9997083333333332,0.0766831563262054,14201509.792613637,10.306818181818182,6
-0.9953076923076916,0.0579350997872129,1154126.8680116034,8.936708860759493,7
-0.9959666666666672,0.0364715120858544,105959500.59935376,523.2587538619979,8
3.725274725275443,38.39457808411995,1722554.2688643066,6.48377581120944,9
-0.9940923076923076,0.0436673646657428,2828392.766402582,6.982394366197183,10
0.874999999999891,35.610490086002805,5690517.917512691,7.157360406091371,11
0.8148148148149938,36.30926004022801,4128105.6081794193,4.686015831134565,12
2.525000000000441,31.6283150047394,2742289.633901705,4.557673019057171,13
-0.9993333333333334,0.0657198616095805,740040.4458447489,3.761643835616439,14
-0.999,0.5040468542213883,58255.780967741935,1.3870967741935485,15
-0.5737704918032551,47.67945381833494,394542.9614772728,3.397727272727273,16
-0.8881355932203328,0.049849173982433,923548.9730883444,6.119153674832962,17
-0.8771428571428495,0.0462766839142062,25926696.059635334,80.09808236403647,18
2.66703337000346,107.58462588871164,152735.1870277078,1.8110831234256928,19
-0.9995938459976332,0.0390606550544672,6438762.506219713,8.65772759350741,20
-0.997735849056604,0.0508176621846727,10234385.430697674,17.89488372093023,21
-0.9656124999999978,0.0414974846108237,11807395.927629912,9.32319391634981,22
-0.9584848484848462,0.0353454553587189,11663009.420970043,19.18651925820257,23
-0.9995555555555556,0.0936534742302433,3654676.7086614175,15.626546681664792,24
-0.7476190476190687,13.206872394436784,4851197.124520114,54.64296444667001,25
1.282954545454286,118.47632195693996,28531618.13661498,2835.081772966648,26
1.5318918918917128,117.79575271277533,229068241.0122112,11592.962562152676,27
-0.9728169014084525,0.0387870560015857,101572468.56191656,48.91596130592503,28
-0.9943970588235296,0.1477292772445154,121951859.19473684,3.1403508771929824,29
7.026315789474683,12.326035942243475,140938569.40049934,9160.07769129094,30
-0.9975839080459766,0.0446368126610554,188686044.6287189,169.54293758798687,31
-0.9980000000000002,0.1462150703110752,3404454.43556701,2.4381443298969074,32
-0.8827692307692447,0.1558294190217946,25258143.520202957,26.625,33
-0.1899999999999702,104.8588007985978,1294164.4144692738,4.4636871508379885,34
-0.9901666666666658,0.2175842223493485,818700.9564315353,4.068464730290456,35
-0.9990121951219512,0.2607800402286753,300312.93529411766,1.4248366013071896,36
-0.8432865731462831,0.037792332341017,16934621.83869239,164.96177206145052,37
3.3749999999993108,28.43475407478117,318272.2363565892,1.627906976744186,38
-0.9986013986013984,0.0845842163518428,3570302.8671411625,7.091340450771056,39
-0.2955639097743606,0.565489799324865,4369100.154936061,4.075021312872975,40
-0.7540569780022046,0.3028446041649565,11151985.41341469,142.52766155276615,41
35.7111111111068,6.041367594207792,5389266.4801622415,607.2421828908555,42
20.90000000000225,5.995947341634548,122319656.14316852,6021.9312463428905,43
1230.5789473682837,580.356749857284,1269264.17266793,17.903348073278586,44
-0.9544444444444408,13.136380213927028,3930083.7636598176,26.15819558164684,45
-0.9999612142857144,0.0501912915697859,67228952.51613423,159.65537270087125,46
-0.9961111111111108,0.0462913697918197,33112166.590753425,13.543949771689498,47
3.2222222222228893,765.7488970544739,6530412.13062201,21.907655502392345,48
-0.9920116279069764,0.0372364491494208,26123635.99267721,8.824253075571178,49
-0.999625468164794,0.194869448049124,125381005.72414891,2.1595744680851063,50
-0.7604166666666549,31.21967365355077,44055188.802083336,10.695075757575758,51
-0.9965723612622412,0.0375402256062915,49213376.098493405,30.75612052730697,52
-0.9974823529411764,0.0449686695025507,4825669.857882213,32.6918500892326,53
-0.8981961064475762,0.6464567878625075,12595216.840081967,31.314590163934422,54
19.066889632107028,1.0973919793858835,540255.3846153846,1.5384615384615383,55
0.6949152542374992,125.57922035197308,499314.6083409298,3.617137648131267,56
1.051633986928088,3.242648632876325,16380152.606351249,185.67909488300333,57
156.0370370370198,209.73975821615312,1180950.4287583688,6.195374315276933,58
-0.9593333333333436,1.3819917670446678,6738.893260869566,1.5,59
-0.9984262295081966,0.0614871310845941,16249226.897527471,7.898351648351649,60
-0.24174757281542,6.200473825492945,221515187.52076632,4072.223457151214,61
-0.2562264150942986,6.302192543918397,309806680.8512284,3169.705323193916,62
0.064864864864931,5.135465244895324,7806267.674288567,252.82226660009985,63
-0.9997613636363636,0.1323352585108645,1376215.1831685393,2.404494382022472,64
-0.9997818181818182,0.0787083645078638,5879846.979676007,5.51138353765324,65
-0.9644676258992754,0.0560522558936304,20743188.76150357,53.42773817239144,66
128.99999999998715,14.238479578346784,5263028.3930476,37.48291526762789,67
-0.9975829268292684,0.1706868110239139,303824.0966542751,1.8698884758364311,68
344.7999999999688,20.78428331516897,629645.6888888889,6.344,69
-0.958620689655178,0.0638359452005391,1705403.7653276955,10.161733615221989,70
42.09090909090664,12.912719743247235,2517016.8253128007,146.91369906961822,71
56.08428246014191,14.833985267247469,10177607.866707427,166.86163949275362,72
-0.9988705882352944,0.1735730970910745,2110076.423076923,1.853846153846154,73
-0.9980634920634924,0.0775953218261111,3286477.623529412,6.152941176470589,74
-0.4843750000000266,3.4385845641722987,23717365.366579544,7.134090909090909,75
-0.960833333333328,0.1234510530880351,406473.28896774194,2.0731182795698926,76
-0.0621118012423294,0.0397554074228361,1004833.4528429264,18.863636363636363,77
-0.994444444444444,0.0713507361196202,4960905.05334728,8.341004184100418,78
31.599999999997895,56.400409357069314,526747.5315789473,2.226315789473684,79
25.900000000000645,33.33446039019841,3110354.0845714286,2.8285714285714287,80
-0.999985,0.1392469442992232,3968565.479412485,3.616891064871481,81
39.83885209712557,10.765029599679568,1914746.4844036696,4.757798165137615,82
0.2582781456954832,136.87190577642323,2792123.468418988,119.54648881914476,83
-0.7458333333333618,0.8140993802957958,13768542.138221093,2232.325031766201,84
-0.5523165751302249,1.030534522070737,24201379.495168217,29.67752326413744,85
35.956521739132604,39.15367766651503,191089.3312883436,2.165644171779141,86
9.479166666666927,16.6507373482548,27463998.767166764,101.65897287939988,87
2.121739130434785,0.0556907478364517,62677043.47826087,6.826086956521739,88
-0.9971428571428572,0.0964066409819638,6342340.189585366,2.292682926829268,89
-0.5170547720563485,16.300578670680746,67986215.2721562,931.1062319221668,90
-0.9218367346938716,0.0272409215974809,94880468.6491856,10415.863976522378,91
6.891566265060984,12.890433119407396,606234.3802401102,73.75634717575281,92
-0.1000000000000433,40.96156815677187,2223246.6856947606,3.6264236902050113,93
-0.9976941176470588,0.043111629379436,20649788.221354377,28.335030549898168,94
-0.8172000000000214,0.154225544137622,385037.5186295984,31.17495085650098,95
-0.99456923076923,0.1291583563898221,229809.74481132076,3.2735849056603774,96
-0.9998189130434784,0.0431529336307281,64674415.26692205,90.8481012658228,97
-0.8825000000000116,1.2864851948785785,10761402.762376238,1426.1686642348443,98
-0.8860784313725463,1.1852120804759323,45959070.82981082,5167.47664794561,99
-0.9978813559322032,1.099920389576855,183991.7109120521,1.778501628664495,100
-0.9936052631578952,0.0478284241474432,7930562.490238612,10.017353579175705,101
-0.9919658119658123,0.2091741252630322,593749.2515395895,2.674486803519061,102
-0.9994628363733368,0.059986234074907,5664282.754382207,5.091433278418451,103
-0.99995,1.0781926086290492,829155.3958208956,1.9402985074626864,104
0.5873015873014891,51.13787649104977,227916.2658472222,2.594444444444445,105
0.7424242424240497,46.17622657882259,181224.3936039604,3.0554455445544555,106
-0.9999979104477612,0.2308609751931989,16979600.69414013,8.86624203821656,107
-0.9999985833333334,0.1400242265022996,170046781.79454082,7.1020408163265305,108
-0.9883137254901956,0.0532095719836639,3168426.757184751,13.648093841642227,109
-0.2187499999998913,3.202362719900161,244818.40539726027,2.6205479452054794,110
2.345112781954684,5.092086576153023,6687693.221223543,9.472600753841691,111
77.12499999999324,1.6526612752439445,137440.6738940153,9.566569997363564,112
200.2168622338152,190.45625770554864,1145727.8817238626,12.968874700718276,113
-0.9984166666666664,0.057135058125421,10471051.211055277,12.938023450586265,114
-0.999358823529412,0.3359980700490329,1482158.1355825244,2.174757281553398,115
-0.9991698113207548,0.1581156081629975,131056.60819571868,1.8868501529051989,116
-0.99907,0.0631892722450175,187933149.6708972,22.166301969365428,117
-0.9930232558139526,0.0850374629658924,20583210.6414375,3.603125,118
68.99000000000838,232.4253102132149,108819.5046421268,3.840490797546012,119
25.48039215686118,242.188033300062,216313.69403215832,7.57452071737786,120
-0.9954666666666664,0.2074553055562677,1078035.211610487,3.5692883895131087,121
-0.9967928571428574,0.056251536142588,5787070.15908159,18.23739237392374,122
13.391304347826866,27.18514473386381,2074732.2845528456,3.29979674796748,123
187.33333333335423,2.381929755422231,1806674.4924942127,317.2086226851852,124
-0.988325203252033,0.0445220653890661,29107238.656342182,11.570058997050149,125
-0.9975827338129494,0.0971161288560016,6421037.183387271,4.748651564185545,126
0.4600000000002164,30.65673042939195,26946413.647649232,45.316428948758585,127
-0.9819419354838718,0.0459546269799007,39358530.35556537,17.375,128
-0.9815999999999988,0.1800909198152215,2509047.078817734,2.6798029556650245,129
-0.9817857142857146,0.0594217601314979,19100485.204705883,30.6,130
0.2757847533631861,1.180488392847814,127013119.2151644,8270.857310628304,131
-0.272178477690272,1.1983732754444414,795651064.8136377,19153.051799824407,132
-0.9967441860465114,0.0381329281195658,97919378.98480392,61.72727272727273,133
0.4614541468760387,0.3438777456546211,222562.7238973799,3.0294759825327517,134
