referencia,Média_Diária (%),Mediana_Diária (%),Desvio_Padrão_Diário (%),Variância_Diária,Skewness,Kurtosis,VaR_95% (%),VaR_99% (%)
AAPL,0.1198418466553325,0.094328640926744,2.429951375517874,0.0005904663687381,-1.4098841561508213,36.20638810373866,-3.579872583590565,-6.243824023829153
MSFT,0.0581971877697464,0.0381969864499676,1.8922668299111516,0.0003580673755581,0.1854378208704977,9.612231191977664,-2.8037830344290198,-5.355628168312738
GOOGL,0.0898039429858734,0.0,1.753645105329799,0.0003075271155447,0.6970297181363772,11.40720936754886,-2.5371515093889268,-4.798565481708886
NVDA,0.1854772758547309,0.1378446213170625,3.724344266154808,0.001387074021284,0.5705010750677398,12.01583945061151,-5.261572381479879,-9.415003037026894
META,0.059941962399141,0.0,1.8127511204646107,0.0003286066624745,0.6706836632556208,41.61153914699727,-2.428966224654969,-5.057121676591323
JPM,0.0670277055068497,0.0389640331262763,2.331891462793333,0.0005437717794248,0.7971153506008251,15.85214366093603,-3.2242329588866414,-6.2300693820814
BAC,0.0593889086972189,0.0382478453443191,2.7282096924365544,0.0007443128125904,0.8506689641564619,27.880832362562877,-3.3229371580613147,-7.28078165185288
GS,0.0650792985542786,0.0426974975187621,2.2552664266040057,0.0005086226654967,0.6896301967466378,13.98877867572442,-3.2115139517657045,-5.815633140823091
WFC,0.0613259992068544,0.0274846463465316,2.377346208442202,0.0005651774994794,1.5308309478372242,28.709320322436213,-3.0262375604557965,-6.119236390696864
C,0.0312570087743926,0.0,2.906821619417908,0.0008449611927115,1.341459671989511,48.95007128856964,-3.608675354140417,-7.220118794703538
XOM,0.0428819271771983,0.0448651880252892,1.652884993940677,0.0002732028803194,0.1838157544049107,8.917958144893953,-2.486866034425855,-4.429432833498943
CVX,0.0495575870623021,0.082065294944833,1.728817518441286,0.0002988810012069,0.0749825476810462,18.938056000588052,-2.5275728781197686,-4.344332560058728
COP,0.0597486015959832,0.0605531131347647,2.0925313188214534,0.0004378687320248,-0.0542363463248399,11.73886875183577,-3.063531777173909,-5.61882546396039
JNJ,0.0407360306938684,0.0314843568824163,1.2057198630425014,0.0001453760388135,-0.1976186401165087,12.414358350958366,-1.7607167542055795,-3.223337040419911
UNH,0.0835231557307915,0.0791722871130384,1.998219614396079,0.0003992881627357,0.3717777320612778,25.707255805238585,-2.7145867652673155,-5.254258973796888
PFE,0.0247766499297506,0.0,1.5881209551935374,0.0002522128168324,0.0473024191279389,4.84798817635206,-2.36365090908178,-4.252676640531307
WMT,0.0423226377499939,0.0401068027581885,1.4760923633676446,0.0002178848665192,0.2807464335463831,8.500508527107144,-2.0775905480953454,-3.9937086225163623
AMZN,0.1074565188062235,0.0488567874885714,3.0829747513090773,0.0009504733317209,1.1246374468558815,15.90719416182674,-4.172905285868145,-8.350898549323086
HD,0.0521818686386625,0.0483050802260076,1.8819227386303652,0.0003541633194174,-0.4723017074506606,15.523688347052154,-2.72164881571276,-5.116698512223006
^GSPC,0.0312462426096253,0.0639119168769464,1.2215353130642452,0.0001492148521062,-0.1202516908562486,10.45777555231676,-1.8507846884347283,-3.427236447984926
^DJI,0.0287583294206145,0.0523058852678337,1.1591765674391197,0.0001343690314499,-0.0913379056494495,12.682517642811492,-1.7338380805320046,-3.1968616332719213
^IXIC,0.0389346243559073,0.0963475867479357,1.5712539553075937,0.0002468838992069,0.0913589319951054,6.647577507354017,-2.545966271988484,-4.306131939522119
