,Receita_Liquida,Lucro_Liquido,Margem_Liquida,ROE,ROA,Endividamento,Crescimento_Receita
count,135.0,135.0,135.0,134.0,135.0,134.0,126.0
mean,100822981.8888889,9688999.296296297,13.238005363155821,14.07194966928719,5.42212407894961,231.45247365615356,12.670221573274368
std,120823759.99450766,26838017.604124863,18.74724210210658,21.47473003061728,7.066384773305417,718.0023463077979,22.225547910060808
min,2030433.0,-45996622.0,-53.79773215145539,-56.9800620702932,-24.047554140107145,16.555533515340194,-26.444142212974253
25%,9886979.5,0.0,0.0,0.0,0.0,58.84589597184488,-1.3150651224712067
50%,47899276.0,1048529.0,10.768985069027927,11.12708108050823,4.424353490401302,105.60050175129545,9.289491167568453
75%,136138678.5,11554668.0,18.96367286458501,20.29910382211062,9.009221638343988,203.44921217249754,23.974507083562813
max,641256000.0,189005000.0,99.40558522516572,145.1091997638924,24.31099838117677,8180.166961801163,155.60936233314803
