cd_papel,ATR,Coef_Variacao
1,0.9573468074348382,3.0660682563546957
2,0.24762514205198988,1.6422851892137855
3,0.7416281592861864,1.5800355692497796
4,0.14246758560727663,1.939165725007135
5,567.0922448979592,1.2330707723063912
6,0.034345828065739575,1.5202346414691987
7,0.4330211251043168,7.204663839740782
8,2.4298599774882828,5.81596169615214
9,2.5099792030075188,0.8329079011254994
10,0.676540209090141,5.012260145201983
11,0.0917114285714286,1.5740390240844357
12,0.050041967401725784,1.6467485161961033
13,0.05257760743321719,1.160111826649831
14,0.11505164906258253,3.286714589736046
15,1.111111111111114e-06,2.4732930965436024
16,0.0005698962863834059,0.6254396760119825
17,0.008579568657750307,4.241376130163564
18,0.021795736832611833,4.315064932955611
19,0.01282650996890434,0.7783763897007573
20,61.62547866008225,7.0027284444571105
21,0.03569056295399516,3.0362808716623992
22,0.2840827761257434,4.664106281131179
23,0.2052389565951784,5.111054971068509
24,0.004501501238023468,4.950373414284568
25,0.1430755305166563,1.3613726858203463
26,0.6695745748623354,1.0794071384537267
27,0.7767984383045526,1.1207022353968228
28,0.6987009623922696,3.990231670308179
29,4.409610389610389,0.5400488303579983
30,0.6675729561506769,0.8639203345920453
31,0.08879079084041548,4.567540757947882
32,1.2402216811365427,1.8006737371330093
33,0.3987638425696441,6.043276687698695
34,0.03786768932874355,2.2762740155473606
35,0.005234208041425524,2.1340432567743863
36,0.013468663265306125,3.105437258644747
37,0.1274764460055379,4.645931077608332
38,0.011187615160349858,1.9478031442476813
39,0.033976779690189335,3.648241575390374
40,0.8056053386699508,3.077283370762054
41,0.9693539772840822,3.9904709254915183
42,0.3175172570668581,1.2401952513690597
43,0.38663900609283725,1.416654583010006
44,0.0439676817386583,3.5444558563752158
45,1.5718892443609025,5.8197485698126545
46,4.119997624988427,5.3348062171054735
47,0.025532703113447793,4.479905879935807
48,0.005673149460072908,2.2432527657157175
49,0.5364230258053634,4.244838316576944
50,9.734123218694885,1.14676092907762
51,0.15142957266127927,0.9237285794246809
52,0.958144780401976,4.580926479812841
53,0.027567076053442954,4.339400749021221
54,0.21208919054659814,5.354627277400549
56,0.16888766736953084,2.437924351434137
57,0.42239528674627747,1.7280459215662272
58,0.00795502059596845,1.4633808484016426
59,9.090909090909093e-05,5.802293458840401
60,0.23802979446479444,1.762349519972342
61,0.72558831711146,2.5871568884060374
62,0.7832642099424385,2.4052253846858296
63,0.5980750732232591,0.6972452795220808
64,0.1307976752645503,4.55803102568447
65,0.49277047323801093,4.022604881327232
66,0.022683274042950514,3.6941034598157527
67,0.1107938594059406,2.6456017806621186
68,0.010346138392857144,4.151512922684521
69,0.12878506896992145,1.1782572334827215
70,0.004005035982238554,3.0968501010951464
71,0.09136501527085678,1.260915924914934
72,0.35098245125077054,2.0645041052792936
73,0.0048518742368742415,2.108129067405673
74,0.013628608795630928,2.498302004452551
75,1.625464148953699,4.384973437562453
76,0.15718907869785084,2.854849173404954
77,2.4326239032195875,2.270873856542987
78,0.05711560369640965,3.244981795749574
79,0.05525927209030752,0.7056322617039419
80,0.0631242343387471,0.8559498588358909
81,0.7091300373134328,3.552800463324766
82,0.34125409255718897,2.161482492874769
83,0.22875173451327438,2.0327102900097107
84,0.7797996907554454,2.3540896568555882
85,1.0920828160476703,4.619562861220233
86,0.19503488710038,1.4466855434927754
87,0.24591112035083362,1.6564247945701371
88,0.14036796536796534,0.27170694645955124
89,1.0468275530766462,2.843183133111693
90,1.3872770162080663,2.3567372403202236
91,0.5025099275423195,4.975494386926275
92,0.08089940382230239,2.002549203652009
93,0.13265712608987257,0.960904512215514
94,5.039846242952332,4.467605099173558
95,0.1000098647125141,7.531023675122528
96,0.028644316996871748,2.6778642944037276
97,0.731258521005592,5.274967960095683
98,0.3820181036112216,2.918704523157539
99,0.4239517884114996,2.898187217020711
100,0.0030181924198250725,2.650576976112879
101,0.05490559842396817,4.77413870866106
102,0.0026896028187059578,2.7829608396179424
103,2.2187425365766624,3.63601220401412
104,0.0002596296296296298,2.9925719502543764
105,0.5280762234794908,0.6765569948980371
106,0.6617070683479008,0.6665261912971284
107,2.986594900793651,1.9702458815411488
108,4.486336029023747,1.8357149670113446
109,0.004571046521445458,3.944777680070363
110,0.21221138075313808,1.3468758287801625
111,0.2891873960585398,1.3760399294860466
112,0.31031981368102796,0.9245554082972547
113,0.09398896424273681,3.720077055054249
114,3.2437965755413085,4.749299535941993
115,0.05451911176905996,2.037198907732059
116,0.1647962170154686,2.654453582050529
117,0.579966398005148,1.7864618509921337
118,1.576999578873895,1.9355324221376937
119,0.5373558620689655,1.130578125113301
120,0.27660109992874954,1.4444827947728356
121,0.0056031052920208395,2.288162970935749
122,0.030584180308562005,5.495775839104082
123,0.0728536442548183,0.6759033908923321
124,3.269157554458322,1.0977164295193642
125,0.10585646792894375,3.7759628148105815
126,0.03832716864645201,3.110588040469351
127,0.23510418575593503,1.8201395798341884
128,0.1197470705083455,4.4969808595296605
129,0.0031726203007518806,2.1402738653421323
130,0.008559706434545145,2.8348965806463142
131,0.9875340180278613,0.9207905565067418
132,0.9886489999371689,0.988584914193599
133,0.11461859864250497,4.634648051624915
134,0.7406075320360702,1.2352073634104146
135,0.07129946820809248,1.6518303102064933
136,0.0014950364431486878,1.0151325525039048
137,0.03717375351364858,0.852785387116382
138,0.03480419427621422,0.8016130295143765
139,0.25194161019878997,0.7658164379228931
140,0.026135306122448968,0.4376306210131259
141,0.18396816595149704,5.461707645842241
142,0.21844741453269206,5.711929132187826
143,0.2438785565991102,5.061054099320617
144,0.24563744119021658,6.916792395233197
145,0.37586933838324066,5.422814012167321
146,0.3314286095803307,5.054263797460508
147,0.32037490882567465,5.475449556010785
148,0.009532873352063972,3.7311327082013803
149,2.4207547862263183,4.804409502129297
150,0.019667634158294534,2.4477952787210606
151,0.2721699828296703,2.8110078925888624
152,0.1168800978792822,0.3771588613170547
153,0.006271589132686693,3.8881073114441866
154,0.05624524077046549,1.5912925307264365
155,0.16568251638269987,1.2464167932321244
156,0.7504163435024934,1.3720012319638308
157,0.8790055899159664,4.146329944505237
158,2.4108282684852838,4.9414460556987025
159,0.7009105598455598,2.6277128110621177
160,6.131446362259137,6.211617450959776
161,0.1055462190599796,1.1845888525508677
162,0.03509267429760666,2.169054270131702
163,0.014337692540018121,2.082747482978787
164,1.1071030282083507,2.9778066160713115
165,1.0152833320735701,3.119009541382096
166,0.677457315315784,2.554170136237552
167,0.3743161077668477,1.8064506311836546
168,0.17752929453262786,3.698483061187708
169,0.19221847494730016,3.981306784330722
170,0.7325455391732965,3.932976758990293
171,0.9915095601706174,4.310497902879699
172,0.12577940074314173,4.212506169238638
173,1.3262853217503219,3.6733785384211064
174,2.2063617728531857,3.738341372041059
175,0.2672896759109964,1.4099147657249615
176,0.11210443248532287,2.673288345800125
177,1.7046122448979588,0.3074233481119552
178,0.3820196898258545,1.6578530372778895
179,0.27309130447542185,2.178130445423438
180,0.10947514470194858,1.5486848388405454
181,0.003625304568527919,2.069018485861875
182,1.3754337146714093,0.6777758878127782
183,1.1568257565355162,1.6549971192720903
184,0.1999404358459802,3.9514869671015584
185,7.462455448475687,3.834898686473791
186,0.17913643279797128,5.389660659796042
187,0.006176439393939396,1.4974096072190586
188,0.04697429904394191,2.157756039654103
189,0.3106243029472847,2.4623510417732355
190,10.739733990147784,0.5489717041758637
191,0.05708005770430442,2.7442811159764506
192,0.5374217417020389,1.740783167066186
193,0.004671521793902746,3.2384653549646267
194,0.6870491039808281,3.3391828879783882
195,0.20357600321027292,3.681190428604989
196,586.8476308456118,3.1814903801092673
197,1335.3591955662264,3.1104758901228005
198,0.007505685092934812,5.393443231120913
199,0.04807722362443211,2.7019138719894964
200,0.3884420593591383,0.9376867979518493
201,0.003213327950310559,1.7073083471214265
202,1.7726938775510201,0.29255699067192276
203,1.8598529411764706,0.3600139297628594
204,0.009456301652892565,1.8915706200614353
205,1.0948324845885822,0.9313507621894562
206,0.3470207388131132,4.643911500536847
207,0.17912994204578384,1.9075103574958594
208,0.0019750877133337865,7.359565669248476
209,1.0506220846668606,3.05824261897544
210,0.0699394714623438,2.890190741529704
211,0.027712332667332668,1.4313219306249236
212,0.3592857142857139,0.05427126993865875
213,0.25002948051948054,2.260020455857763
214,0.10575749382105779,2.6473679494634936
215,0.0005708516483516483,2.4254814731459784
216,0.5353611908707798,4.403952306906926
217,1.0789701808318264,1.4780828335281107
218,0.006546706349206349,1.941714644380192
219,0.47814737210205926,1.4619463492496767
220,0.0024890949887808526,2.343031490307415
221,0.07185458087367179,1.8181332890217683
222,0.45434031659530294,5.3012771643503545
223,0.030318681508539832,5.489377029545428
224,0.27606896551724136,5.937335424322591
225,0.5056735772357724,1.7512051110543574
226,2.4810389714898835,2.0831190504964328
227,0.12811093984962407,1.9910193779480783
228,0.17933817042606517,2.756124770070088
229,0.029806315192743765,1.8627944281475868
230,0.09266436527153234,1.5126419383118266
231,0.3432617740429505,1.5811008446547787
232,0.18172773561507938,2.1093543026013526
233,0.513727606810151,2.3736327589919446
234,0.21884283229813664,4.153507433906253
235,0.11389946262458472,2.112618075728627
236,0.00076113981762918,3.263476409270208
237,0.09658461538461542,1.9496492442560942
238,0.6753790566037734,2.4757866078332977
239,0.019068391977480656,2.013612778515704
240,0.005485324815746502,5.87476382791509
241,4.2003550869794415,3.2632395108420083
242,0.2541474909644284,0.9458950882554868
243,0.05598668889845096,3.855640499872134
244,0.6448770064011072,1.1621324096436942
245,0.08347067669172932,2.437266754513673
246,0.175342574,2.7064164555573895
247,0.03365564758199,1.6165077122797777
248,0.47862796296296295,1.3769638549517829
249,0.3597236313637005,3.663108269624279
250,0.04060116187384045,1.6410545105883267
251,0.25067346938775503,0.30318061733686275
252,0.057170988771054275,1.8448441427914983
253,0.17552173913043478,2.1023570103417106
254,3.169625571428571,1.0551714314341472
255,0.04432837446958981,4.886289255020323
256,0.12670159677526374,1.5058434174686426
257,0.10077440713536201,1.6042028505886239
258,1.1203861937830688,5.420874377689031
259,0.005225926498303807,5.952976120048554
260,0.028520559006211182,1.7588665245404507
261,0.6862156061065615,3.6101855829521146
262,0.2882340758579169,6.508216081137606
263,0.062136451367781155,1.929141134873658
264,0.21868062465348362,3.235401861197041
265,0.22068801712814584,5.476604331030544
266,0.02839989572471323,9.549311903287675
267,0.1277251887561108,3.432813335331726
268,0.09144022962812437,3.0204850280208766
269,0.20438048323769256,1.2797179177963993
270,2.3300492610837434e-05,4.346596781948715
271,0.14792582417582414,0.43322833519135395
272,0.19043924665178572,0.9355885954527294
273,0.15897785714285717,1.7747933831297966
274,0.1801160833639368,2.5760058249347333
275,1.5284960786635096,4.914599075077562
276,0.8557932142857143,1.6987439417741028
277,0.04679642885431401,3.8988063099868597
278,0.22610506058125254,2.0009789423494597
279,3.781666031535793,5.207238953525991
280,0.3543337513227513,3.4035317553809583
281,0.12882773291925467,4.278365300716343
282,0.3324808415129728,6.96196129695048
283,0.04083286675404107,0.5408232117315773
284,0.21576046025845283,0.5208289146099058
285,0.009106027782992304,3.235022853139166
286,0.03335386662891123,2.6761020465624683
287,0.7524107142857142,0.39604655176009657
288,0.2238418015340364,3.415200590668499
289,0.07175047875064003,4.7646237333109
290,0.0005166806722689086,3.052685749111653
291,0.2286661640031183,1.431478247453103
292,0.46694997878157257,2.1914738226337676
293,1.389595131875674,4.708519666607472
294,0.07688941988950276,4.622817532858942
295,1.7910618788819874,2.397042114330215
296,0.006706666666666667,3.9621185103224335
297,0.12710115039281705,7.280199344805718
298,0.4214743970315399,2.127344666487287
299,0.002817205783906815,4.232985269593758
300,0.6194807320141827,5.274857003126898
301,4.969730979591837,2.306279408516
302,0.021399620991253653,2.5989187539995675
303,0.5738153211465729,6.957271422903588
304,18.455384615384617,0.3401306842572042
305,0.012283287292817685,4.691787335143576
307,0.22740557283566615,2.8076597028409593
308,0.003387107364685005,2.453329198661789
309,1.0201252262169902,5.501172872863669
310,0.3353265498652291,1.8937800840080616
311,0.004510655344655344,4.252647952342936
312,0.4345034051956981,1.2631341066587747
313,0.0013365762170790124,2.809368041645498
314,0.0035371811521811534,5.145839330700475
315,0.6146484672268908,3.7533488227670633
316,0.15706493506493507,4.662272185169574
317,0.0012970562770562766,3.399502121391758
318,0.020909340659340647,1.3313908983481664
319,0.027490482625482628,1.8584267083484503
320,0.026116706700379272,2.0483296987560693
321,0.04113379120879121,3.8160180343427563
322,0.006310471341286005,3.607533481361167
323,0.23255089845442725,1.3713752272912538
324,0.8536156143707481,2.046924448675866
325,0.2,0.41601349932102294
326,0.0028177924384673934,3.37300653688951
327,0.4440488527017024,2.939204698301679
328,3.117845384615385,1.264941233686626
329,0.027370766951942075,1.811673067252347
330,0.2518651020408163,2.983671661506889
331,0.1362472193389784,1.491514131757487
332,0.005923853968253974,3.7125953231643103
333,0.0007987428571428545,1.6319900996333578
334,0.011693922531808664,3.588959119002985
335,1.1571811431440044,5.534634800737282
336,0.023836056893687705,5.009129735425979
337,0.013031431594860168,6.014783587504077
338,1.4608576522248244,3.7763457261470967
339,0.002629162561576347,3.322409587466147
340,0.00041375832053251407,2.928107329957175
341,0.44302396711202463,2.546514851511165
342,0.017812933130699083,1.7723660485127013
343,346.6711359724613,2.349691113153967
344,0.3031451499745806,0.9712693553718932
345,0.040680272108843535,1.7152383856225402
346,0.001285714285714287,2.772197330971823
347,0.0033920386904761866,1.720966293925381
348,0.06265720621419892,2.564194522466942
349,0.21188095408163263,4.425245434425906
350,0.009382266425557562,2.018733672084251
351,0.3246166201298701,3.285645120017844
352,0.0,1.0254558339327133
353,0.07377132058648703,3.3933698340731318
354,0.5453974264838211,0.9538986819662024
355,2.1542438726122115,1.9254961223553964
356,0.190182922895358,1.497556878975885
357,0.05246120689655174,1.8031130428395714
358,0.004595125220458554,4.113839208129005
359,0.025048928571428538,1.8580514719743049
360,0.6763838953855879,2.95696688375403
361,0.04461977825561082,3.8631587520964876
362,0.9020304486118772,2.472998786753678
364,0.0014257142857142864,2.4641383607180907
365,0.14305532192448644,5.593527593659665
366,0.2039508329338447,5.597986121479345
367,0.0,5.8043955528504405
368,1.159177334213131,26.597234515812342
369,7.816711590295688e-05,2.063650220122381
370,0.011525812133072405,0.7225189096099366
371,0.12943286426790168,1.4832414055821086
372,0.03954722873900293,0.9195311986318125
373,0.025253858615611195,4.54868357154367
374,0.40806228423198077,0.803151356476807
375,0.3938314593762033,1.3256649686378157
376,3.4648419841269837,0.8366980993328306
377,0.013971836734693883,1.130854025280248
378,0.0004982539682539819,6.211632626850879
380,1.7979506239737273,2.83178203341351
381,0.0006385531759552203,6.271864121333571
382,0.1594417467894079,2.404633433515662
383,0.11785714285714281,0.29357027277711023
384,0.0019673704600484264,4.35051766028058
385,0.029156908665105397,0.6603315394183968
386,0.0006587755102040821,1.7429711084026287
387,0.26113753246753246,2.275237879170188
388,0.1761715227629514,1.7795976726220444
389,0.18600135305223411,1.5566962502321642
390,0.03412138051550896,2.4451343129116245
391,0.01280758994062172,2.396912118920026
392,11.823406593406595,0.337576464137266
393,0.11258873982970671,2.704379639678117
394,0.07476683308617564,1.1247526727237265
395,0.04718330067044868,1.0288211258867108
396,0.00021039215686274512,4.522089945519347
397,0.2393784628072575,1.6058982086278017
398,0.0057750340136054415,2.046221815961489
399,0.001954664263181613,3.4271252401970687
400,2.852921958152023,5.583744334930934
401,1.2218158008163267,1.1402689934186718
403,0.017327731092436995,0.5355597987493721
404,0.05628990572315882,4.978839036030053
405,0.022306648351648355,3.2872260315276436
406,0.0,1.3785685680552107
407,1.7372604238779703,3.7826279927298967
408,0.5337415712587056,0.9707889741918938
409,0.06356621830324533,10.80162779495302
410,0.37496719654528476,1.8794750755446785
411,0.9453314150943396,1.1415136985723102
412,0.0045968621179815206,1.5400580779330983
413,9.160986394557824,0.39120231258937516
414,0.00018275132275132278,0.6705485787824991
415,1.5453083847307885,4.554996378989151
416,0.007623388188608776,2.3917828548443416
417,0.11542412458471758,2.8960056493774915
418,0.14717225905673273,2.781671606001557
419,6.914682539682534e-05,2.3317395221305746
420,0.016174070263975153,3.827192997810783
421,0.0029808064516129024,1.9149626744026074
422,0.574886377742108,1.0160976945442153
423,0.16030211111694034,1.4175522382649774
425,0.007183351466414383,6.014853772214968
426,0.22766644719792678,4.762248057761763
427,6.600909090909091,0.4764493056219522
428,1.5023958942133817,1.1931678003991322
429,0.3145561897759104,1.2306135197968844
430,0.20411940993788819,2.439748563323895
431,0.10548979591836732,4.90257921962576
432,0.5627938285714286,2.8498826243400703
433,0.0004559563658099222,2.4348206808969395
435,0.033520926216640504,2.8376810035369897
436,1.1126666666666667,1.793927573167669
437,0.11698355667060212,5.9225403401759324
438,0.7227264615228632,3.45999262286121
439,0.0025055172413793103,1.2859033554868353
440,0.03569242911668485,3.457306770405022
441,0.6997647006606111,3.8360110607633033
442,0.0930740617577197,3.1476057839516765
443,0.45024348799999997,1.1347922125531464
444,0.0021337662337662343,2.599561757444273
445,0.13804682815734987,4.57995258307649
446,0.29165814652738564,2.018012053889617
448,0.9191435786435787,1.9536148837411165
449,0.3032124410089504,4.075423400030242
450,0.013233363787375416,2.686986613187298
451,0.5375000000001039,1.437559599166219
452,0.14448213293650794,2.5319140564720106
453,0.526923955357143,4.255588264678896
455,0.14707902616902618,1.0123104544660055
456,0.19830063054187194,3.621756233846983
457,0.0016751552795031073,4.604288694599004
458,0.0016777623670827548,2.031071268724792
