cd_papel,retorno_acumulado,volatilidade,cluster
1,-0.9993396226415094,0.07594772871053185,0
2,13.999999999998446,209.16696298557568,0
3,0.1180769230770291,1.2908143826041396,0
4,4.914285714285723,1.5441521330811157,0
5,-0.9942268041237113,0.3291022484608364,0
6,-0.9997083333333333,0.07668315632620544,0
7,-0.9953076923076917,0.05793509978721292,0
8,-0.9959666666666673,0.03647151208585445,0
9,3.725274725275443,38.39457808411995,0
10,-0.9940923076923077,0.04366736466574282,0
11,0.874999999999891,35.610490086002805,0
12,0.8148148148149938,36.30926004022801,0
13,2.525000000000441,31.628315004739402,0
14,-0.9993333333333334,0.06571986160958057,0
15,-0.999,0.5040468542213883,0
16,-0.5737704918032551,47.67945381833494,0
17,-0.8881355932203328,0.04984917398243303,0
18,-0.8771428571428495,0.04627668391420628,0
19,2.66703337000346,107.58462588871163,0
20,-0.9995938459976331,0.03906065505446724,0
21,-0.997735849056604,0.05081766218467275,0
22,-0.9656124999999978,0.04149748461082373,0
23,-0.9584848484848462,0.03534545535871897,0
24,-0.9995555555555555,0.09365347423024335,0
25,-0.7476190476190687,13.206872394436783,0
26,1.2829545454542859,118.47632195693996,0
27,1.5318918918917128,117.79575271277533,0
28,-0.9728169014084525,0.038787056001585746,0
29,-0.9943970588235296,0.14772927724451548,0
30,7.026315789474683,12.326035942243475,0
31,-0.9975839080459766,0.04463681266105546,0
32,-0.9980000000000002,0.14621507031107522,0
33,-0.8827692307692447,0.15582941902179467,0
34,-0.1899999999999702,104.85880079859781,0
35,-0.9901666666666658,0.21758422234934852,0
36,-0.9990121951219513,0.2607800402286753,0
37,-0.8432865731462831,0.03779233234101707,0
38,3.3749999999993108,28.43475407478117,0
39,-0.9986013986013984,0.08458421635184285,0
40,-0.29556390977436064,0.565489799324865,0
41,-0.7540569780022046,0.3028446041649565,0
42,35.7111111111068,6.041367594207792,0
43,20.900000000002255,5.995947341634548,0
44,1230.5789473682837,580.356749857284,0
45,-0.9544444444444408,13.136380213927028,0
46,-0.9999612142857143,0.050191291569785995,0
47,-0.9961111111111108,0.046291369791819706,0
48,3.2222222222228893,765.7488970544739,0
49,-0.9920116279069764,0.037236449149420876,0
50,-0.999625468164794,0.19486944804912404,0
51,-0.7604166666666549,31.219673653550775,0
52,-0.9965723612622411,0.037540225606291555,0
53,-0.9974823529411764,0.04496866950255075,0
54,-0.8981961064475762,0.6464567878625075,0
55,19.066889632107028,1.0973919793858835,0
56,0.6949152542374992,125.57922035197309,0
57,1.051633986928088,3.2426486328763255,0
58,156.0370370370198,209.73975821615312,0
59,-0.9593333333333435,1.3819917670446678,0
60,-0.9984262295081966,0.061487131084594124,0
61,-0.24174757281542003,6.200473825492945,0
62,-0.25622641509429867,6.302192543918397,0
63,0.06486486486493104,5.1354652448953235,0
64,-0.9997613636363637,0.13233525851086453,0
65,-0.9997818181818182,0.0787083645078638,0
66,-0.9644676258992754,0.056052255893630484,0
67,128.99999999998715,14.238479578346784,0
68,-0.9975829268292684,0.17068681102391395,0
69,344.7999999999688,20.784283315168974,0
70,-0.958620689655178,0.06383594520053912,0
71,42.09090909090664,12.912719743247235,0
72,56.08428246014191,14.833985267247469,0
73,-0.9988705882352943,0.17357309709107455,0
74,-0.9980634920634923,0.07759532182611113,0
75,-0.48437500000002665,3.4385845641722987,0
76,-0.9608333333333281,0.12345105308803514,0
77,-0.0621118012423294,0.0397554074228361,0
78,-0.9944444444444439,0.07135073611962027,0
79,31.599999999997898,56.400409357069314,0
80,25.900000000000645,33.33446039019841,0
81,-0.999985,0.13924694429922324,0
82,39.83885209712557,10.765029599679568,0
83,0.25827814569548324,136.87190577642323,0
84,-0.7458333333333618,0.8140993802957958,0
85,-0.5523165751302249,1.030534522070737,0
86,35.956521739132604,39.15367766651503,0
87,9.479166666666929,16.6507373482548,0
88,2.1217391304347855,0.055690747836451754,0
89,-0.9971428571428573,0.09640664098196385,0
90,-0.5170547720563485,16.300578670680746,0
91,-0.9218367346938715,0.027240921597480913,0
92,6.891566265060984,12.890433119407396,0
93,-0.10000000000004339,40.96156815677187,0
94,-0.9976941176470587,0.043111629379436064,0
95,-0.8172000000000214,0.154225544137622,0
96,-0.9945692307692301,0.12915835638982212,0
97,-0.9998189130434783,0.0431529336307281,0
98,-0.8825000000000116,1.2864851948785783,0
99,-0.8860784313725463,1.1852120804759323,0
100,-0.9978813559322033,1.099920389576855,0
101,-0.9936052631578953,0.047828424147443226,0
102,-0.9919658119658123,0.2091741252630322,0
103,-0.9994628363733369,0.05998623407490704,0
104,-0.99995,1.0781926086290492,0
105,0.5873015873014891,51.13787649104977,0
106,0.7424242424240497,46.17622657882259,0
107,-0.9999979104477612,0.23086097519319898,0
108,-0.9999985833333334,0.1400242265022996,0
109,-0.9883137254901955,0.05320957198366397,0
110,-0.2187499999998913,3.202362719900161,0
111,2.345112781954684,5.092086576153023,0
112,77.12499999999324,1.6526612752439445,0
113,200.21686223381522,190.45625770554864,0
114,-0.9984166666666665,0.057135058125421016,0
115,-0.9993588235294119,0.3359980700490329,0
116,-0.9991698113207547,0.15811560816299758,0
117,-0.9990699999999999,0.06318927224501755,0
118,-0.9930232558139526,0.08503746296589247,0
119,68.99000000000838,232.4253102132149,0
120,25.48039215686118,242.188033300062,0
121,-0.9954666666666664,0.2074553055562677,0
122,-0.9967928571428574,0.05625153614258802,0
123,13.391304347826866,27.185144733863815,0
124,187.33333333335423,2.381929755422231,0
125,-0.988325203252033,0.04452206538906614,0
126,-0.9975827338129494,0.09711612885600165,0
127,0.46000000000021646,30.65673042939195,0
128,-0.9819419354838718,0.04595462697990075,0
129,-0.9815999999999987,0.18009091981522155,0
130,-0.9817857142857146,0.05942176013149796,0
131,0.2757847533631861,1.180488392847814,0
132,-0.27217847769027204,1.1983732754444414,0
133,-0.9967441860465114,0.038132928119565895,0
134,0.4614541468760387,0.3438777456546211,0
135,0.030000000000004245,0.05930859338704436,0
136,-0.5757575757576219,39.751776391792156,0
137,53.36046511628414,208.53884421931417,0
138,57.43749999999361,337.4860177590985,0
139,81.26804123712495,12.909662719332065,0
140,3.6853146853146868,0.06315969351002648,0
141,-0.9483809523809524,0.05309174989662453,0
142,-0.9678333333333314,0.0635482275951923,0
143,-0.958749999999999,0.07343516451068866,0
144,-0.9718309859154918,0.04107135849608309,0
145,-0.9649268292682982,0.06578526057357525,0
146,-0.955365853658541,0.04396038164042151,0
147,-0.9736097560975611,0.0535860071027984,0
148,-0.9961427193828353,0.07628660316672446,0
149,-0.6818181818181869,2.94794033605131,0
150,-0.99790625,0.06773834902435193,0
151,-0.9956187499999996,0.13783694161707405,0
152,7.733042231925616,0.18319197353617075,0
153,-0.9994242424242423,0.06209090107343318,0
154,-0.9962222222222227,0.14286527283229347,0
155,-0.9959732142857141,0.11188743814761638,0
156,3.18888888888905,3.055370326151207,0
157,-0.7656249999999658,44.37166186589315,0
158,-0.8984374999999973,31.912869209289347,0
159,-0.9999621621621622,0.1424199837359901,0
160,-0.9879519650655018,0.02996042308164024,0
161,-0.8576271186440648,14.948769685787711,0
162,9.416666666666718,4025.96258560437,0
163,1.2456140350877316,16.691898074533622,0
164,-0.9926082608695661,0.06423411802740629,0
165,-0.9922875816993468,0.05600005373838963,0
166,6.05882352941123,131.3433023491452,0
167,1.4805077062556897,115.55674124808469,0
168,-0.9914800000000009,0.0548687242009865,0
169,-0.9904347826086968,0.04888325781656957,0
170,-0.9998876404494382,0.057125954506775975,0
171,-0.99984,0.04836682633262806,0
172,-0.9972273333333337,0.04839502877209641,0
173,-0.9983901052631581,0.051760436623689295,0
174,-0.9983027522935778,0.053935555724988545,0
175,48.10000000000363,236.73306296421364,0
176,-0.9962500000000001,0.31322951704558427,0
177,-0.9993333333333332,0.15444825629904027,0
178,6156.232704403143,4.36598367322647,0
179,6002.82165605092,3.162707409203042,0
180,10.802575107294656,281.1591871660193,0
181,13.13793103448345,13.178699802409083,0
182,2.503521126760453,1.4507842534253612,0
183,-0.19014084507049067,3.749180429103706,0
184,-0.9827118644067818,0.1976237859385273,0
185,-0.9966818181818181,0.044965234459635454,0
186,-0.8707272727272559,0.03994886070591025,0
187,-0.9986666666666665,0.37258430449006624,0
188,17.716959565654168,48.46625195015805,0
189,0.002842105263286765,172.8324830966557,0
190,-0.9999286301369863,0.22979592437295146,0
191,-0.9972857142857146,0.06622984665919002,0
192,-0.08471698113214932,1.615359014045587,0
193,-0.9976969696969697,0.13526917997317475,0
194,-0.9998916666666666,0.05421751004231835,0
195,-0.9980000000000002,0.07999086078381837,0
196,-0.9986136363636364,0.06037834670200761,0
197,-0.9962962962962965,0.087898551995396,0
198,-0.9584874066838766,0.043340632523465684,0
199,-0.9996083333333334,0.1251820080252799,0
201,0.509166666666538,5.8388422246389045,0
202,2.4210526315789496,0.06573375796288024,0
203,3.360071301247772,0.06194081486236282,0
204,-0.9977777777777778,0.13368913491655843,0
205,-0.6839999999999575,41.227086982498875,0
206,-0.9818749999999988,0.044357000255232565,0
207,18.000000000001116,34.78836056181329,0
208,-0.9900000000000002,0.06298450290860146,0
209,-0.9998125,0.058509466569109214,0
210,-0.9997769516728624,0.06450067631303477,0
211,-0.995,0.12948017797809908,0
212,0.11764705882352922,0.04855075110927199,0
213,-0.9921400500178633,0.2341795979377376,0
214,301.5830258302253,1064.0450200812447,0
215,-0.9945945945945952,0.16595571693245992,0
216,-0.7100000000000304,0.9506103647569261,0
217,-0.9995806451612904,0.1303798191017883,0
218,-0.9885714285714273,0.1993930158556682,0
219,-0.8196428571428377,26.01225959706272,0
220,-0.9915254237288145,35.02471998494137,0
221,-0.9905389610389614,0.20657875885109145,0
222,-0.9039423076923014,0.8535902819412109,0
223,-0.9986111111111111,0.047432197379436505,0
224,0.6810810810811678,77.11014381921315,0
225,40.20000000000381,29.12419374708683,0
226,-0.9977777777777778,0.0653942087771383,0
227,-0.9995526315789474,0.2995385303537617,0
228,-0.9960396039603967,0.4560274525615605,0
229,-0.9940298507462677,0.17767803306882723,0
230,10.891891891891541,28.270131928284954,0
231,11.12500000000074,18.04592080045386,0
232,-0.9967651098901097,0.131907041515846,0
233,-0.5867241379309951,17.870682957464997,0
234,-0.9338857142857189,0.0308612837890995,0
235,12.750000000000705,15.261415552657313,0
236,-0.9994333333333333,0.6439052404593624,0
237,-0.9891666666666656,0.12937611282065323,0
238,-0.9763157894736855,0.0973869688562486,0
239,-0.9996296296296296,0.25267274839890735,0
240,-0.9616442953020177,0.034420539443288545,0
241,-0.999345162601626,0.07960169351681268,0
242,-0.3126666666666973,0.3865098351152849,0
243,-0.9807999999999999,0.0592718281796784,0
244,-0.5070370370370252,6.28395248870376,0
245,-0.05272727272726929,13.194238576571449,0
246,6.916363636363653,3.57505295213549,0
247,-0.9996385542168674,0.2188314611065583,0
248,-0.9988505000000001,0.0856480932787961,0
249,-0.9876190476190487,0.0509187480257108,0
250,-0.9995414634146341,0.1715931324533735,0
251,2.0357142857142856,0.048077773993812724,0
252,-0.9751898734177206,0.11512584594097552,0
253,-0.9773333333333322,0.6719789613861342,0
254,-0.9939759036144572,0.11159348350269734,0
255,-0.9747386666666693,0.06264378069963478,0
256,0.8093750000002065,1.4310899206337035,0
257,-0.5549936788874825,0.058914040281948486,0
258,-0.995361988999811,0.05918143486667875,0
259,-0.9563749999999976,0.06626825862254539,0
260,-0.9935714285714295,0.15920530055229143,0
261,-0.988251879699248,0.042683804570423305,0
262,-0.9747393857652642,0.03273400029834472,0
263,0.13793103448262056,306.53905511020486,0
264,-0.9997012903225807,0.2305566722301592,0
265,-0.9155172413793105,0.08679918237721948,0
266,0.3333333333334534,3.428423379109155,0
267,-0.9929899999999997,0.2207419918603012,0
268,0.522857142857186,0.4192285333894539,0
269,68.99999999999015,256.9807011070249,0
270,-0.9805882352941181,0.479101403466272,0
271,4.655555555555555,0.09703752604749444,0
272,-0.9988000000000001,0.12468512748822873,0
273,-0.9979,0.17751729103498032,0
274,-0.9965833333333332,0.047942750697641076,0
275,0.5000000000000921,40.35100813775626,0
276,-0.999934,0.3207341067989034,0
277,-0.8968421052631679,0.3987965409517567,0
278,19.723684210526944,57.87527280730137,0
279,-0.9852910052910053,0.0385772851838033,0
