cd_papel,retorno_acumulado,volatilidade,volume_medio,negocios_medio
1,-0.9993396226415094,0.07594772871053185,12698706.588582678,5.511811023622047
2,13.999999999998446,209.16696298557568,666910.3047456949,6.815378454144974
3,0.1180769230770291,1.2908143826041396,12542469.179093158,1167.5647155812037
4,4.914285714285723,1.5441521330811157,218589.77577620026,30.316644872034374
5,-0.9942268041237113,0.3291022484608364,2844839.75962963,1.5555555555555556
6,-0.9997083333333333,0.07668315632620544,14201509.792613637,10.306818181818182
7,-0.9953076923076917,0.05793509978721292,1154126.8680116034,8.936708860759493
8,-0.9959666666666673,0.03647151208585445,105959500.59935376,523.2587538619979
9,3.725274725275443,38.39457808411995,1722554.2688643066,6.48377581120944
10,-0.9940923076923077,0.04366736466574282,2828392.766402582,6.982394366197183
11,0.874999999999891,35.610490086002805,5690517.917512691,7.157360406091371
12,0.8148148148149938,36.30926004022801,4128105.6081794193,4.686015831134565
13,2.525000000000441,31.628315004739402,2742289.633901705,4.557673019057171
14,-0.9993333333333334,0.06571986160958057,740040.4458447489,3.7616438356164386
15,-0.999,0.5040468542213883,58255.780967741935,1.3870967741935485
16,-0.5737704918032551,47.67945381833494,394542.96147727274,3.397727272727273
17,-0.8881355932203328,0.04984917398243303,923548.9730883444,6.119153674832962
18,-0.8771428571428495,0.04627668391420628,25926696.059635334,80.09808236403647
19,2.66703337000346,107.58462588871163,152735.1870277078,1.8110831234256928
20,-0.9995938459976331,0.03906065505446724,6438762.506219713,8.65772759350741
21,-0.997735849056604,0.05081766218467275,10234385.430697674,17.89488372093023
22,-0.9656124999999978,0.04149748461082373,11807395.927629912,9.32319391634981
23,-0.9584848484848462,0.03534545535871897,11663009.420970043,19.18651925820257
24,-0.9995555555555555,0.09365347423024335,3654676.7086614175,15.626546681664792
25,-0.7476190476190687,13.206872394436783,4851197.124520114,54.64296444667001
26,1.2829545454542859,118.47632195693996,28531618.13661498,2835.0817729666473
27,1.5318918918917128,117.79575271277533,229068241.01221117,11592.962562152676
28,-0.9728169014084525,0.038787056001585746,101572468.56191657,48.91596130592503
29,-0.9943970588235296,0.14772927724451548,121951859.19473685,3.1403508771929824
30,7.026315789474683,12.326035942243475,140938569.40049934,9160.077691290939
31,-0.9975839080459766,0.04463681266105546,188686044.6287189,169.54293758798687
32,-0.9980000000000002,0.14621507031107522,3404454.43556701,2.4381443298969074
33,-0.8827692307692447,0.15582941902179467,25258143.520202953,26.625
34,-0.1899999999999702,104.85880079859781,1294164.4144692738,4.4636871508379885
35,-0.9901666666666658,0.21758422234934852,818700.9564315353,4.068464730290456
36,-0.9990121951219513,0.2607800402286753,300312.93529411766,1.4248366013071896
37,-0.8432865731462831,0.03779233234101707,16934621.83869239,164.96177206145052
38,3.3749999999993108,28.43475407478117,318272.2363565892,1.627906976744186
39,-0.9986013986013984,0.08458421635184285,3570302.8671411625,7.091340450771056
40,-0.29556390977436064,0.565489799324865,4369100.154936061,4.075021312872975
41,-0.7540569780022046,0.3028446041649565,11151985.41341469,142.52766155276615
42,35.7111111111068,6.041367594207792,5389266.4801622415,607.2421828908555
43,20.900000000002255,5.995947341634548,122319656.14316851,6021.9312463428905
44,1230.5789473682837,580.356749857284,1269264.1726679301,17.903348073278586
45,-0.9544444444444408,13.136380213927028,3930083.7636598176,26.15819558164684
46,-0.9999612142857143,0.050191291569785995,67228952.51613423,159.65537270087125
47,-0.9961111111111108,0.046291369791819706,33112166.590753425,13.543949771689498
48,3.2222222222228893,765.7488970544739,6530412.13062201,21.907655502392345
49,-0.9920116279069764,0.037236449149420876,26123635.99267721,8.824253075571178
50,-0.999625468164794,0.19486944804912404,125381005.72414893,2.1595744680851063
51,-0.7604166666666549,31.219673653550775,44055188.802083336,10.695075757575758
52,-0.9965723612622411,0.037540225606291555,49213376.098493405,30.75612052730697
53,-0.9974823529411764,0.04496866950255075,4825669.857882213,32.6918500892326
54,-0.8981961064475762,0.6464567878625075,12595216.840081967,31.314590163934426
55,19.066889632107028,1.0973919793858835,540255.3846153846,1.5384615384615385
56,0.6949152542374992,125.57922035197309,499314.60834092984,3.617137648131267
57,1.051633986928088,3.2426486328763255,16380152.606351247,185.67909488300333
58,156.0370370370198,209.73975821615312,1180950.4287583688,6.195374315276933
59,-0.9593333333333435,1.3819917670446678,6738.893260869566,1.5
60,-0.9984262295081966,0.061487131084594124,16249226.897527471,7.898351648351649
